Date,AMD,ANET,AVGO,COHR,EQIX,GLD,GOOG,LITE,MRVL,SNDR,VRT
2025-09-02,162.32000732421875,135.8699951171875,296.5392761230469,87.80000305175781,762.758544921875,325.5899963378906,211.5135955810547,132.55499267578125,64.51083374023438,24.14858055114746,123.89932250976562
2025-09-03,162.1300048828125,137.3800048828125,300.66558837890625,88.47000122070312,753.5250854492188,328.1400146484375,230.5806427001953,134.1199951171875,62.224002838134766,24.138694763183594,125.47791290283203
2025-09-04,161.7899932861328,141.1699981689453,304.35443115234375,95.62000274658203,759.169921875,326.69000244140625,232.1371307373047,141.91000366210938,64.01152801513672,24.494548797607422,125.58780670166016
2025-09-05,151.13999938964844,142.85000610351562,332.9802551269531,97.83999633789062,764.8543701171875,331.04998779296875,234.64149475097656,149.4600067138672,63.242591857910156,24.267196655273438,123.88933563232422
2025-09-08,151.41000366210938,140.00999450683594,343.6788635253906,98.66999816894531,756.7775268554688,334.82000732421875,233.84259033203125,149.39999389648438,65.90890502929688,24.168350219726562,121.71127319335938
2025-09-09,155.82000732421875,141.91000366210938,334.7501220703125,99.22000122070312,770.6474609375,334.05999755859375,239.61474609375,151.72999572753906,66.74774169921875,23.98053741455078,125.4679183959961
2025-09-10,159.5399932861328,150.72000122070312,367.4624938964844,103.48999786376953,771.6953735351562,335.260009765625,239.23526000976562,164.8800048828125,67.00738525390625,23.575260162353516,136.6179656982422
2025-09-11,155.6699981689453,153.0399932861328,357.5791931152344,103.51000213623047,788.3828735351562,334.760009765625,240.45361328125,164.8800048828125,66.49808502197266,24.267196655273438,135.58889770507812
2025-09-12,158.57000732421875,139.38999938964844,357.8177795410156,102.98999786376953,779.6140747070312,335.4200134277344,241.0528106689453,163.02000427246094,67.25704193115234,23.646997451782227,134.7196502685547
2025-09-15,161.16000366210938,145.42999267578125,362.01373291015625,106.33999633789062,782.6489868164062,338.9100036621094,251.41873168945312,168.77000427246094,67.33692932128906,23.73630714416504,138.175537109375
2025-09-16,160.4600067138672,142.16000366210938,357.9470520019531,104.47000122070312,770.420166015625,339.5899963378906,251.0791778564453,170.89999389648438,68.76495361328125,23.895076751708984,136.5665283203125
2025-09-17,159.16000366210938,142.83999633789062,344.1959228515625,103.41000366210938,769.896240234375,336.9700012207031,249.51132202148438,163.33999633789062,70.88204193115234,23.11114501953125,136.7464141845703
2025-09-18,157.9199981689453,146.66000366210938,343.380615234375,108.05000305175781,776.341796875,335.6199951171875,251.98794555664062,171.5,74.12754821777344,22.833295822143555,141.873291015625
2025-09-19,157.38999938964844,149.61000061035156,342.9729309082031,109.11000061035156,782.2239379882812,339.17999267578125,254.89401245117188,168.72999572753906,74.15750885009766,22.237903594970703,143.51229858398438
